authorname,count
Sharon123,9672
Kittencalrecipezazz,6635
Sydney Mike,6380
Rita1652,6024
sugarpea,5289
Bergy,5225
PaulaG,4765
Parsley,4635
Charishma_Ramchanda,4576
evelynathens,4482
Nimz_,4453
ladypit,4245
CookingONTheSide ,4199
ellie_,4114
Boomette,4088
LonghornMama,4073
Bev I Am,3974
Derf2440,3958
Annacia,3909
justcallmetoni,3898
Evie3234,3731
NcMysteryShopper,3701
iris5555,3674
lauralie41,3609
Merlot,3569
Charlotte J,3551
Roxygirl in Colorado,3403
bmcnichol,3334
bullwinkle,3256
Susie D,3255
Mamas Kitchen Hope,3248
cookiedog,3226
Mandy,3214
bluemoon downunder,3185
JustJanS,3113
chia2160,3093
Missy Wombat,2999
Engrossed,2971
lazyme,2963
Mysterygirl,2957
Mirj2338,2929
Redsie,2872
Jewelies,2856
PanNan,2811
CountryLady,2787
PalatablePastime,2784
kiwidutch,2746
Outta Here,2719
Gerry,2698
Hey Jude,2684
Leslie,2672
 Pamela ,2659
twissis,2650
echo echo,2618
Dreamgoddess,2599
HeatherFeather,2564
lets.eat,2556
ratherbeswimmin,2537
CIndytc,2523
gwynn,2517
Andi Longmeadow Farm,2489
karen in tbay,2485
anme7039,2453
teresas,2452
Elmotoo,2452
Miss Annie,2448
mary winecoff,2443
Chef floWer,2440
GaylaJ,2398
Jellyqueen,2347
Charmie777,2347
Caroline Cooks,2343
Marg CaymanDesigns ,2333
SweetsLady,2321
MarraMamba,2304
najwa,2301
Montana Heart Song,2292
RecipeNut,2280
SusieQusie,2272
mommyoffour,2249
Ginny Sue,2241
riffraff,2229
French Tart,2222
Cilantro in Canada,2221
NoraMarie,2216
AmandaInOz,2216
PetsRus,2180
Sackville,2176
rosslare,2131
Chef shapeweaver ,2130
WI Cheesehead,2115
Lavender Lynn,2107
flower7,2102
AKillian24,2087
Marie,2084
mianbao,2071
Dreamer in Ontario,2068
Darkhunter,2068
CoffeeB,2058
diner524,2046
carole in orlando,2044
Brenda.,2034
Junebug,2028
COOKGIRl,2027
mandabears,2018
Darlene Summers,2005
Kaarin,1999
Debbb,1989
Mommy Diva,1987
Maito,1963
yogiclarebear,1957
dicentra,1955
Little Bee,1943
LorenLou,1934
Geema,1925
Dine  Dish,1912
Sageca,1903
looneytunesfan,1893
Fairy Nuff,1891
Chef Mommie,1889
newspapergal,1887
Sherrybeth,1886
Marie Nixon,1871
evewitch,1858
Chris from Kansas,1846
BLUE ROSE,1840
littleturtle,1816
Brooke the Cook in ,1814
Ducky,1814
susie cooks,1812
Aunt Cookie,1804
Calee,1788
LAURIE,1777
sheriboren,1771
Saturn,1771
Galley Wench,1746
TheDancingCook,1736
jellyko,1733
Ilysse,1733
januarybride ,1723
Juenessa,1713
Miss Diggy,1711
Manami,1706
Laudee,1703
ladyfingers,1691
Debber,1690
Bobtail,1679
Bliss,1675
Starrynews,1672
ChefLee,1671
Indiana Debbie,1670
ReeLani,1666
Melaine,1665
ElaineAnn,1664
mersaydees,1659
Sherri35,1655
hippeastrum,1648
currybunny,1647
Jubes,1646
AprilShowers,1645
Pot Scrubber,1635
Lindas Busy Kitchen,1624
NurseJaney,1619
Yogi8,1614
Fluffy,1607
CaramelPie,1598
Nyteglori,1594
Studentchef,1591
Chill,1586
Lorac,1572
Judy from Hawaii,1560
CheSara,1558
BestTeenChef,1543
Irmgard,1502
Latchy,1498
Shabby Sign Shoppe,1485
Bluenoser,1472
LilPinkieJ,1470
Karamia,1464
luvmybge,1461
dale7793,1454
Liara,1454
woodland hues,1444
Muffin Goddess,1440
Lennie,1425
Susiecat too,1407
Dorel,1399
Tinkerbell,1393
mums the word,1387
White Rose Child,1386
Chef PotPie,1383
Denise,1379
Darlene10,1378
Lightly Toasted,1373
Tamaretta,1372
BerrySweet,1362
Terri Newell,1362
slickchick,1359
Lil Sis,1359
foodtvfan,1342
Potluck,1330
blancpage,1329
Alisa Lea,1329
Countrywife,1315
WiGal,1313
cyaos,1312
VickyJ,1305
Wildflour,1302
Ginger Rose,1293
Bippie,1287
startnover,1279
CASunshine,1273
Mimi Bobeck,1269
LARavenscroft,1253
Debs Recipes,1250
stormylee,1244
Thorsten,1237
Clifford Boren,1231
Malriah,1225
Kitchen Witch Steph,1222
LainieBug,1207
mummamills,1195
DuChick,1184
Lucky Clover,1176
LifeIsGood,1174
Sueie,1174
Denise in da Kitchen,1171
sprue,1164
annlouise,1164
cuppycakes,1163
Chef Patience,1147
Sally,1146
Bobbie,1126
helowy,1118
Girl from India,1117
Gay Gilmore,1114
morgainegeiser,1113
Sweet Baboo,1106
Manda,1104
CindiJ,1104
Hadice,1096
Aroostook,1095
Lorrie in Montreal,1090
seesko,1075
forthefunofit,1069
Heydarl,1066
Color Guard Mom,1053
Aunt Paula,1051
Recipe Reader,1049
Cynna,1048
podapo,1046
andypandy,1040
Akikobay,1040
Bittersweetened,1039
canarygirl,1034
Gingerbear,1029
BrendaM,1027
coconutcream,1024
mailbelle,1019
smellyvegetarian,1017
BothFex,1016
Demandy,1012
truebrit,1009
Peggy Lynn,1001
Claudia Dawn,999
Graybert,999
Cooking Person,992
TasteTester,987
Thymestudio,986
Elisa72,984
BeachGirl,984
HeathersKitchen,984
Sunflower,982
Carianne,976
Cristina Barry,975
SaraFish,971
gruntlady,969
Kristiina,968
Lingering_Dream,966
jenpalombi,965
lemoncurd,962
Pepper Monkey,961
Cookiegirlandi,959
Shellbelle,957
Margo59,954
Pumpkie,954
appleydapply,947
Amanda Beth,946
glitter,945
Sandy,936
Chef at Heart,935
Jenny Sanders,935
Marlitt,926
Michelle Figueroa,926
A la Carte,925
ShaGun,917
Catherine Robson,917
cfletcher,915
Gingernut,914
Hill Family,911
MeliBug,902
Amis227,902
I Cook Therefore I ,900
merrilife,899
FruitLoop,897
Sonya01,895
hollyfrolly,894
Dancer,893
William Uncle Bill ,890
CookbookCarrie,880
Shirl,877
Chickee,875
Swan Valley Tammi,873
Shannon Cooks,864
Pierre Dance,862
Sonata,856
Chris Reynolds,853
Daydream,851
SPrins,840
Heavens Kitchen,837
kolibri,836
CoolMonday,835
Tys Kitchen,832
Donut Chef,831
michEgan,828
Seasoned Cook,823
papergoddess,821
oriana,820
windhorse23,812
Diana Adcock,811
Pixies Kitchen,807
Musical Joy,805
Berts Kitchen Witch,798
Deely,796
DeSouter,793
Cinnamon1025,792
BowerBird,783
Irish Rose,781
islandgirl77551,779
Katrina,777
Colorado Lauralee,775
Blue Peacock,764
Paula5,763
diest,760
Chef Dee,755
DanielsWife,753
adena mangis,751
Sherrie-pie,748
Virginia Chandler,747
Sarah Chana,747
Caryn,746
Susan Lee,742
Pittsburgher,730
Beansy,714
Wineaux,713
Cookworm,712
crawfish pie,710
Cristin,702
Mercy,696
School Chef,691
georgi,685
Krista Smith,680
Cathy17,676
Leanne,670
Brandyberry,670
lisar,667
supernova,666
Nana Lee,662
Shelli,660
Bone Man,649
karla1,647
crimper,646
Raspberry Cordial,642
Jan Marie,640
greyghost,638
Little Italy,635
Grannydragon,633
surus,631
Prose,631
JiliBean,631
beancooker,627
Grease,622
Sharron,619
Sauce Lover,618
